ORIGIN;;DESTINATION;;TTE;;20' E;20' (< 8tn);20' (< 16,5tn);20' (< 22tn);20' (< 32tn);20' (> 32tn);25' E;25' (< 8tn);25' (< 16,5tn);25' (< 22tn);25' (< 32tn);25' (> 32tn);30' E;30' (< 8tn);30' (< 16,5tn);30' (< 22tn);30' (< 32tn);30' (> 32tn);40' E;40' (< 8tn);40' (< 16,5tn);40' (< 22tn);40' (< 32tn);40'(> 32tn);45' E;45' (< 8tn);45' (< 16,5tn);45' (< 22tn);45' (< 32tn);45' (> 32tn);BOOKING FEE;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RED MULTICLIENTE RENFE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F;20' F;20' F;20' F (>20,5 tn);20' F (>30 tn);;;;;;;30' E;30' F;30' F;30' F;30' F;30' F (>30tn);40' E;40' F;40' F;40' F;40' F;40' F;45' E;45' F;45' F;45' F;45' F;45' F;0;;;;
A CORUÑA;FOT;BARCELONA MORROT;FOT;3;ON DEMAND;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
A CORUÑA;FOT;TARRAGONA CONSTANTÍ;FOT;3;ON DEMAND;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
A CORUÑA;FOT;ZARAGOZA PLAZA;FOT;3;ON DEMAND;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BARCELONA MORROT;FOT;A CORUÑA;FOT;3;ON DEMAND;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
BARCELONA MORROT;FOT;BILBAO MERCANCÍAS;FOT;2;5;316,35;365,4;365,4;396,17;423,1;480,8;;;;;;;342,51;396,17;396,17;396,17;423,1;480,8;365,4;423,1;423,1;423,1;423,1;480,8;414,44;480,8;480,8;480,8;480,8;480,8;30;;;;
BARCELONA MORROT;FOT;BILBAO NOATUM;FOT;2;5;336,35;400,4;400,4;431,17;473,01;520,8;;;;;;;377,51;431,17;431,17;431,17;473,01;520,8;400,4;473,01;473,01;473,01;473,01;520,8;454,44;520,8;520,8;520,8;520,8;520,8;30;;;;
BARCELONA MORROT;FOT;MADRID ABROÑIGAL;FOT;2;5;297,25;342,93;342,93;371,59;396,66;450,4;;;;;;;321,61;371,59;371,59;371,59;396,66;450,4;342,93;396,66;396,66;396,66;396,66;450,4;388,6;450,4;450,4;450,4;450,4;450,4;30;;;;
BARCELONA MORROT;FOT;SAN ROQUE;FOT;3;3;526,5;612,63;612,63;666,68;713,97;815,3;;;;;;;572,44;666,68;666,68;666,68;713,97;815,3;612,63;713,97;713,97;713,97;713,97;815,3;698,76;815,3;815,3;815,3;815,3;815,3;30;;;;
BARCELONA MORROT;FOT;SEVILLA LA NEGRILLA;FOT;3;3;454,96;528,48;528,48;574,6;614,96;701,44;;;;;;;494,17;574,6;574,6;574,6;614,96;701,44;528,48;614,96;614,96;614,96;614,96;701,44;601,98;701,44;701,44;701,44;701,44;701,44;30;;;;
BARCELONA MORROT;FOT;VIGO GUIXAR;FOT;3;5;526,6;612,14;612,14;666,14;713,4;815,67;;;;;;;571,97;666,14;666,14;666,14;713,4;815,67;612,14;713,4;713,4;713,4;713,4;815,67;698,21;815,67;815,67;815,67;815,67;815,67;30;;;;
BARCELONA MORROT;FOT;ZARAGOZA PLAZA;FOT;2;4;183,02;208,54;208,54;224,55;238,56;268,58;;;;;;;196,63;224,55;224,55;224,55;238,56;268,58;212,44;238,56;238,56;238,56;238,56;268,58;234,05;268,58;268,58;268,58;268,58;268,58;30;;;;
BILBAO MERCANCÍAS;FOT;BARCELONA MORROT;FOT;2;5;363,43;420,79;420,79;456,78;488,27;555,75;;;;;;;394,02;456,78;456,78;456,78;488,27;555,75;420,79;488,27;488,27;488,27;488,27;555,75;478,14;555,75;555,75;555,75;555,75;555,75;30;;;;
BILBAO MERCANCÍAS;FOT;TARRAGONA CONSTANTÍ;FOT;2;3;330,38;382,46;382,46;415,14;443,74;505,01;;;;;;;358,16;415,14;415,14;415,14;443,74;505,01;382,46;443,74;443,74;443,74;443,74;505,01;434,51;505,01;505,01;505,01;505,01;505,01;30;;;;
BILBAO MERCANCÍAS;FOT;MADRID ABROÑIGAL;FOT;2;5;294,83;340,78;340,78;369,62;394,85;448,92;;;;;;;319,34;369,62;369,62;369,62;394,85;448,92;340,78;394,85;394,85;394,85;394,85;448,92;386,74;448,92;448,92;448,92;448,92;448,92;30;;;;
BILBAO MERCANCÍAS;FOT;MURCIA;FOT;4;2;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
BILBAO MERCANCÍAS;FOT;SAN ROQUE;FOT;4;2;623,74;730,23;730,23;797,04;855,51;980,79;;;;;;;680,53;797,04;797,04;797,04;855,51;980,79;730,23;855,51;855,51;855,51;855,51;980,79;836,71;980,79;980,79;980,79;980,79;980,79;30;;;;
BILBAO MERCANCÍAS;FOT;SEVILLA LA NEGRILLA;FOT;3;3;467,92;546,89;546,89;596,45;639,8;732,71;;;;;;;510,04;596,45;596,45;596,45;639,8;732,71;546,89;639,8;639,8;639,8;639,8;732,71;625,86;732,71;732,71;732,71;732,71;732,71;30;;;;
BILBAO MERCANCÍAS;FOT;VALENCIA SILLA;FOT;2;3;298,26;347,29;347,29;378,06;404,98;462,67;;;;;;;324,41;378,06;378,06;378,06;404,98;462,67;347,29;404,98;404,98;404,98;404,98;462,67;396,32;462,67;462,67;462,67;462,67;462,67;30;;;;
BILBAO MERCANCÍAS;FOT;ZARAGOZA PLAZA;FOT;2;2;217,97;252,69;252,69;274,47;293,53;334,38;;;;;;;236,49;274,47;274,47;274,47;293,53;334,38;252,69;293,53;293,53;293,53;293,53;334,38;287,4;334,38;334,38;334,38;334,38;334,38;30;;;;
BILBAO NOATUM;FOT;BARCELONA MORROT;FOT;3;5;365,33;437,69;437,69;473,68;503,17;572,65;;;;;;;410,92;473,68;473,68;473,68;503,17;572,65;435,69;503,17;503,17;503,17;503,17;572,65;495,04;572,65;572,65;572,65;572,65;572,65;30;;;;
BILBAO NOATUM;FOT;TARRAGONA CONSTANTÍ;FOT;3;3;336,28;403,36;403,36;436,04;464,64;530,91;;;;;;;379,03;436,04;436,04;436,04;464,64;530,91;403,36;464,64;464,64;464,64;464,64;530,91;460,41;530,91;530,91;530,91;530,91;530,91;30;;;;
BILBAO NOATUM;FOT;MADRID ABROÑIGAL;FOT;3;5;300,73;361,68;361,68;395,52;415,75;474,82;;;;;;;342,24;395,52;395,52;395,52;415,75;474,82;359,68;415,75;415,75;415,75;415,75;474,82;407,64;474,82;474,82;474,82;474,82;474,82;30;;;;
BILBAO NOATUM;FOT;MURCIA;FOT;4;2;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
BILBAO NOATUM;FOT;SAN ROQUE;FOT;4;2;638,74;765,23;765,23;832,04;890,51;1020,79;;;;;;;705,53;832,04;832,04;832,04;890,51;1020,79;763,23;890,51;890,51;890,51;890,51;1020,79;876,71;1020,79;1020,79;1020,79;1020,79;1020,79;30;;;;
BILBAO NOATUM;FOT;SEVILLA LA NEGRILLA;FOT;4;3;492,82;581,79;581,79;631,35;674,7;772,61;;;;;;;538,94;631,35;631,35;631,35;674,7;772,61;579,79;674,7;674,7;674,7;674,7;772,61;665,76;772,61;772,61;772,61;772,61;772,61;30;;;;
BILBAO NOATUM;FOT;VALENCIA SILLA;FOT;3;3;323,16;382,19;382,19;412,96;439,88;502,57;;;;;;;357,31;412,96;412,96;412,96;439,88;502,57;380,19;439,88;439,88;439,88;439,88;502,57;431,22;502,57;502,57;502,57;502,57;502,57;30;;;;
BILBAO NOATUM;FOT;ZARAGOZA PLAZA;FOT;3;2;252,87;287,59;287,59;309,37;328,43;374,28;;;;;;;271,39;309,37;309,37;309,37;328,43;374,28;287,59;328,43;328,43;328,43;328,43;374,28;327,3;374,28;374,28;374,28;374,28;374,28;30;;;;
TARRAGONA CONSTANTÍ;FOT;A CORUÑA;FOT;3;ON DEMAND;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
TARRAGONA CONSTANTÍ;FOT;BILBAO MERCANCÍAS;FOT;2;3;258,19;300,02;300,02;326,26;349,23;398,45;;;;;;;280,5;326,26;326,26;326,26;349,23;398,45;300,02;349,23;349,23;349,23;349,23;398,45;341,84;398,45;398,45;398,45;398,45;398,45;30;;;;
TARRAGONA CONSTANTÍ;FOT;BILBAO NOATUM;FOT;2;3;278,19;335,02;335,02;361,26;384,23;438,45;;;;;;;315,5;361,26;361,26;361,26;384,23;438,45;335,02;384,23;384,23;384,23;384,23;438,45;381,84;438,45;438,45;438,45;438,45;438,45;30;;;;
TARRAGONA CONSTANTÍ;FOT;MADRID ABROÑIGAL;FOT;2;3;235,02;272,91;272,91;296,68;317,49;362,06;;;;;;;255,23;296,68;296,68;296,68;317,49;362,06;272,91;317,49;317,49;317,49;317,49;362,06;310,8;362,06;362,06;362,06;362,06;362,06;30;;;;
TARRAGONA CONSTANTÍ;FOT;MURCIA;FOT;3;2;0;0;0;0;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;;;;
TARRAGONA CONSTANTÍ;FOT;SAN ROQUE;FOT;3;3;497,25;581,42;581,42;634,23;680,44;779,46;;;;;;;542,14;634,23;634,23;634,23;680,44;779,46;581,42;680,44;680,44;680,44;680,44;779,46;665,58;779,46;779,46;779,46;779,46;779,46;30;;;;
TARRAGONA CONSTANTÍ;FOT;SEVILLA LA NEGRILLA;FOT;3;3;441;515,23;515,23;561,82;602,58;689,92;;;;;;;480,59;561,82;561,82;561,82;602,58;689,92;515,23;602,58;602,58;602,58;602,58;689,92;589,47;689,92;689,92;689,92;689,92;689,92;30;;;;
TARRAGONA CONSTANTÍ;FOT;VIGO GUIXAR;FOT;3;3;472,63;552,46;552,46;602,54;646,37;740,27;;;;;;;515,21;602,54;602,54;602,54;646,37;740,27;552,46;646,37;646,37;646,37;646,37;740,27;632,27;740,27;740,27;740,27;740,27;740,27;30;;;;
MADRID ABROÑIGAL;FOT;BARCELONA MORROT;FOT;2;5;220,39;254,99;254,99;276,71;295,7;336,41;;;;;;;238,85;276,71;276,71;276,71;295,7;336,41;254,99;295,7;295,7;295,7;295,7;336,41;289,6;336,41;336,41;336,41;336,41;336,41;30;;;;
MADRID ABROÑIGAL;FOT;BILBAO MERCANCÍAS;FOT;2;5;218,38;253,34;253,34;275,27;294,46;335,58;;;;;;;237,02;275,27;275,27;275,27;294,46;335,58;247,34;294,46;294,46;294,46;294,46;335,58;288,29;335,58;335,58;335,58;335,58;335,58;30;;;;
MADRID ABROÑIGAL;FOT;BILBAO NOATUM;FOT;2;5;243,38;288,34;288,34;315,27;334,46;375,58;;;;;;;274,02;315,27;315,27;315,27;334,46;375,58;293,34;334,46;334,46;334,46;334,46;375,58;328,29;375,58;375,58;375,58;375,58;375,58;30;;;;
MADRID ABROÑIGAL;FOT;TARRAGONA CONSTANTÍ;FOT;2;3;204,86;237,42;237,42;257,86;275,74;314,06;;;;;;;222,23;257,86;257,86;257,86;275,74;314,06;237,42;275,74;275,74;275,74;275,74;314,06;269,99;314,06;314,06;314,06;314,06;314,06;30;;;;
