A CORUÑA;TERMINAL SAN DIEGO - Avda. del Ejército, s/n ;15006;A CORUÑA;43.356018, -8.396264;;
BARCELONA MORROT;C/ Josep Carner s/n;8038;BARCELONA;41.367211, 2.173334;34 935089339;
BILBAO MERCANCÍAS;Avda. de Iparaguirre nº 58;48980;SANTURTZI;43.344503, -3.061156;;
BILBAO NOATUM;Puerto de Bilbao. Muelle 1. ;48980;SANTURTZI;43.342119, -3.041975;;
MADRID ABROÑIGAL;C/ Méndez Álvaro nº 84 (Centro Logístico);28053;MADRID;40.390447, -3.674211;;
MURCIA;NONDUERMAS  Crta. Alcantarilla km. 6;30166;MURCIA;37.968563, -1.194585;;
SAN ROQUE;Crta. Almoraima s/n;11368;SAN ROQUE;36.232595, -5.435667;;
SEVILLA LA NEGRILLA;Ronda La Doctora, s/n. Bda. Palmete;41006;SEVILLA;37.373455, -5.938612;;
TARRAGONA CONSTANTÍ;Avda. Les Puntes s/n;43120;CONSTANTÍ;41.165480, 1.159302;;
VALENCIA SILLA;Avda. de Picassent Nº 5;46460;SILLA;39.363300, -0.417141;34 963537075;
VIGO GUIXAR;Calle de Areal;36201;PONTEVEDRA;42.240416, -8.713986;;
ZARAGOZA PLAZA;Carretera Base Aérea s/n;50197;ZARAGOZA;41.639886, -1.039126;;
CÓRDOBA EL HIGUERÓN;Crta. Palma del Río, Km. 3,500;14005;CÓRDOBA;37.871928, -4.837790;;
GRANOLLERS;Prolongación Paseo de la Montaña, s/n;8400;GRANOLLERS;41.601312, 2.292984;;
BARCELONA APM TERMINAL;Ronda del Port, 233, 08039 Barcelona;8039;BARCELONA;41.355817, 2.166597;;
TARRAGONA ENTREVÍAS;Pol. Ind Entrevías Carrer Autovia de Salou s/n;43006;TARRAGONA;41.110059, 1.212119;;
BARCELONA BEST;Avinguda Estany del Port, 91;8820;EL PRAT DEL LLOBREGAT;41.307517, 2.138998;34 935084440;
NOAIN;TIN (Terminal Intermodal Navarra)Carretera de Salinas S/n;31191;NAVARRA;42.758637, -1.644723;;
